#t dx dy dz
0.154 -1.6485 -0.8047 2.4583
0.155 -1.6130 -0.9718 2.3697
0.156 -1.7249 -1.0894 2.2381
0.157 -1.9043 -1.2102 2.2419
0.158 -1.8472 -1.0678 2.0893
0.159 -1.7019 -0.7702 2.2935
0.16 -1.7390 -0.6313 1.7983
0.161 -1.8480 -0.9039 1.9346
0.162 -1.9756 -0.5946 2.1658
0.163 -2.1217 -0.7753 2.1061
0.164 -2.3655 -0.7088 1.9780
0.165 -2.3823 -0.4576 1.9082
0.166 -2.3365 -0.3968 2.0092
0.167 -2.6599 -0.6096 2.1571
0.168 -2.6547 -0.4347 2.4133
0.169 -2.6157 -0.3910 2.5342
0.17 -2.5345 -0.1217 2.5511
0.171 -2.4950 0.0756 2.6433
0.172 -2.4906 0.1918 2.9479
0.173 -2.8208 0.2579 2.6559
0.174 -3.1950 0.1064 3.1969
0.175 -3.0035 0.2422 2.9452
0.176 -2.9048 0.5019 2.7950
0.177 -2.8031 0.1685 2.6459
0.178 -2.6093 0.0733 2.7334
0.179 -2.7086 -0.1939 2.4483
0.18 -2.4919 -0.5228 2.4710
0.181 -2.5144 -0.5846 2.9712
0.182 -2.5475 -0.2443 2.9620
0.183 -2.2502 -0.3294 2.8534
0.184 -2.3302 -0.2845 2.8554
0.185 -2.3537 -0.1270 2.9458
0.186 -2.2619 -0.2337 2.9280
0.187 -2.7443 -0.3329 3.0707
0.188 -2.7273 -0.2429 3.0611
0.189 -2.4116 -0.0457 3.2709
0.19 -2.2719 -0.2175 3.1599
0.191 -2.6562 -0.4464 3.1412
0.192 -2.5438 -0.6910 3.5073
0.193 -2.7074 -0.7769 3.0989
0.194 -2.8290 -0.9734 3.3740
0.195 -3.1957 -0.6720 3.4084
0.196 -3.1948 -0.3770 3.2634
0.197 -3.2905 -0.5843 3.1303
0.198 -3.3307 -0.5099 3.2989
0.199 -3.6424 -0.5102 3.3399
0.2 -3.5015 -0.2251 3.3110
0.201 -3.4861 -0.3780 3.3628
0.202 -3.4509 -0.0424 3.3046
0.203 -3.4980 -0.0448 3.3067
0.204 -3.5121 -0.2007 3.5736
0.205 -3.3832 -0.4210 3.2013
0.206 -3.1160 -0.4970 3.3831
0.207 -3.2652 -0.4378 3.3671
0.208 -3.2800 -0.2953 3.3468
0.209 -3.0334 -0.4847 3.3124
0.21 -3.1150 -0.8218 3.3491
0.211 -3.1074 -0.6333 3.1237
0.212 -3.0957 -0.6930 2.9660
0.213 -3.0455 -0.3600 3.4364
0.214 -3.2525 -0.0352 3.6185
0.215 -3.0901 0.1133 3.9017
0.216 -3.0148 0.0789 3.8422
0.217 -2.7065 0.1315 3.6649
0.218 -2.8067 -0.0175 3.8509
0.219 -2.9177 -0.3607 4.1480
0.22 -2.7243 -0.4652 4.2809
0.221 -2.7272 -0.4785 4.4716
0.222 -2.6541 -0.6054 4.4032
0.223 -2.5391 -0.6085 4.6760
0.224 -2.3214 -0.5313 4.8194
0.225 -2.1317 -0.8322 4.7775
0.226 -1.9580 -0.6455 5.0681
0.227 -2.0905 -0.4009 4.8053
0.228 -1.8474 -0.7263 5.3752
0.229 -2.0893 -0.8152 5.3802
0.23 -1.9526 -0.5625 5.2438
0.231 -2.0702 -0.3814 5.3616
0.232 -2.4047 -0.6149 5.3739
0.233 -2.1538 -0.3515 5.5757
0.234 -1.9912 -0.1980 5.4894
0.235 -2.3497 0.2133 5.5816
0.236 -2.7566 0.0338 5.3275
0.237 -2.5902 0.0166 5.3959
0.238 -2.9218 -0.2636 5.5100
0.239 -2.8565 -0.2929 5.2687
0.24 -2.9292 -0.3574 4.8609
0.241 -3.2056 -0.2869 4.7292
0.242 -3.2170 -0.3566 4.5106
0.243 -3.3381 -0.3220 4.9077
0.244 -3.2011 -0.4462 4.7969
0.245 -3.3054 -0.7294 4.6889
0.246 -2.9139 -0.8875 4.6825
0.247 -2.6589 -0.5998 4.3594
0.248 -2.6948 -0.4528 4.3848
0.249 -2.6828 -0.5737 4.6595
0.25 -2.6141 -0.4677 4.1791
0.251 -2.7289 -0.5190 4.3275
0.252 -2.5899 -0.6476 4.2237
0.253 -2.6357 -0.7159 4.0490
0.254 -2.8216 -1.0867 4.2217
0.255 -2.5893 -1.0545 4.2271
0.256 -2.7299 -1.1262 4.3666
0.257 -2.2369 -1.5673 4.7149
0.258 -2.1114 -1.4483 4.7437
0.259 -1.9969 -1.5279 4.7899
0.26 -1.9088 -1.3419 4.9560
0.261 -1.6145 -1.3521 4.7868
0.262 -1.6377 -1.3513 5.0617
0.263 -1.4638 -1.2150 5.2379
0.264 -1.6835 -1.1778 5.4146
0.265 -1.8050 -1.2886 5.4484
0.266 -1.9213 -1.2394 4.9468
0.267 -1.7894 -0.9590 4.7705
0.268 -1.8030 -1.0232 4.9165
0.269 -1.7890 -1.0391 4.8409
0.27 -1.7186 -0.8115 5.2615
0.271 -1.6632 -0.7513 5.3536
0.272 -1.5890 -0.8634 5.3600
0.273 -1.7358 -0.7174 5.2341
0.274 -1.7523 -0.5755 5.1917
0.275 -1.7343 -0.7434 5.6646
0.276 -1.8988 -0.7495 5.3946
0.277 -1.5304 -0.5817 5.6239
0.278 -1.5288 -0.7124 5.4980
0.279 -1.4813 -0.7447 5.2171
0.28 -1.5509 -0.9860 5.0297
0.281 -1.3592 -0.9501 4.8478
0.282 -1.5580 -0.7229 4.8212
